Employee Name,Manager Name,Email,Date of Hire,Store,Shift Start,Shift End,Station,Hourly Pay Rate
"White, Kenneth","Hoffman, Tina",kenneth.white@abcfoodmart.com,2023-01-22,ABC Foodmart - Whitestone,2023-02-20 00:00,2023-02-20 00:00,meats,15.37
"Hull, Shane","Waller, Chad",shane.hull@abcfoodmart.com,2024-01-09,ABC Foodmart - Bay Ridge,2024-02-05 00:00,2024-02-05 00:00,pharmacy,14.57
"Bryan, Mr.","Hoffman, Tina",mr..bryan@abcfoodmart.com,2023-08-26,ABC Foodmart - Staten Island,2023-08-28 00:00,2023-08-28 00:00,cashier,18.78
"Moon, James","Farrell, Christopher",james.moon@abcfoodmart.com,2023-10-20,ABC Foodmart - Staten Island,2023-11-02 00:00,2023-11-02 00:00,cashier,16.63
"Thompson, Andrea","Moran, John",andrea.thompson@abcfoodmart.com,2023-01-06,ABC Foodmart - Bay Ridge,2023-01-18 00:00,2023-01-18 00:00,seafood,19.40
"Bennett, Alec","Williams, Gina",alec.bennett@abcfoodmart.com,2023-10-03,ABC Foodmart - Staten Island,2023-10-29 00:00,2023-10-29 00:00,dairy,12.85
"Herrera, Spencer","Hoffman, Tina",spencer.herrera@abcfoodmart.com,2023-01-16,ABC Foodmart - Tribeca,2023-02-02 00:00,2023-02-02 00:00,fresh produce,17.54
"Ellis, Lauren","Ellis, Grant",lauren.ellis@abcfoodmart.com,2022-10-22,ABC Foodmart - Whitestone,2022-12-04 00:00,2022-12-04 00:00,dry goods,18.03
"Galvan, Lori","Johnston, William",lori.galvan@abcfoodmart.com,2022-05-24,ABC Foodmart - DUMBO,2022-06-28 00:00,2022-06-28 00:00,deli,13.54
"Walters, Jay","Hoffman, Tina",jay.walters@abcfoodmart.com,2023-12-17,ABC Foodmart - Tribeca,2024-05-02 00:00,2024-05-02 00:00,deli,17.40
"Foster, Kenneth","Waller, Chad",kenneth.foster@abcfoodmart.com,2023-04-23,ABC Foodmart - Staten Island,2023-06-06 00:00,2023-06-06 00:00,fresh produce,19.97
"Carroll, Eric","Williams, Gina",eric.carroll@abcfoodmart.com,2022-12-26,ABC Foodmart - Tribeca,2023-01-05 00:00,2023-01-05 00:00,meats,18.09
"Rogers, Mark","Farrell, Christopher",mark.rogers@abcfoodmart.com,2023-05-08,ABC Foodmart - Whitestone,2023-05-21 00:00,2023-05-21 00:00,pharmacy,14.95
"Church, Joshua","Waller, Chad",joshua.church@abcfoodmart.com,2024-03-03,ABC Foodmart - Bay Ridge,2024-04-16 00:00,2024-04-16 00:00,bakery,18.72
"Burns, Kendra","Carter, Karen",kendra.burns@abcfoodmart.com,2022-12-13,ABC Foodmart - Staten Island,2023-01-21 00:00,2023-01-21 00:00,bakery,16.31
"Jones, Christopher","Carter, Karen",christopher.jones@abcfoodmart.com,2022-05-19,ABC Foodmart - Tribeca,2022-06-24 00:00,2022-06-24 00:00,dry goods,19.97
"Brooks, Renee","Hoffman, Tina",renee.brooks@abcfoodmart.com,2023-07-15,ABC Foodmart - Tribeca,2023-07-25 00:00,2023-07-25 00:00,bakery,14.43
"Mckinney, Marcus","Flores, Angela",marcus.mckinney@abcfoodmart.com,2022-08-14,ABC Foodmart - Staten Island,2022-10-11 00:00,2022-10-11 00:00,fresh produce,14.19
"Wells, Monica","Waller, Chad",monica.wells@abcfoodmart.com,2024-03-12,ABC Foodmart - Bay Ridge,2024-04-16 00:00,2024-04-16 00:00,frozen foods,13.62
"Roach, Christine","Flores, Angela",christine.roach@abcfoodmart.com,2023-10-15,ABC Foodmart - Staten Island,2023-10-30 00:00,2023-10-30 00:00,fresh produce,18.04
"Woods, Marcus","Compton, Jeffrey",marcus.woods@abcfoodmart.com,2024-04-01,ABC Foodmart - Bay Ridge,2024-05-01 00:00,2024-05-01 00:00,pharmacy,16.09
"Manning, Maria","Williams, Gina",maria.manning@abcfoodmart.com,2022-11-16,ABC Foodmart - Staten Island,2022-12-01 00:00,2022-12-01 00:00,frozen foods,19.80
"Wilson, Jill","David, Mr.",jill.wilson@abcfoodmart.com,2022-12-06,ABC Foodmart - DUMBO,2022-12-25 00:00,2022-12-25 00:00,bakery,12.25
"Johnson, Samantha","Flores, Angela",samantha.johnson@abcfoodmart.com,2023-01-16,ABC Foodmart - Tribeca,2023-01-21 00:00,2023-01-21 00:00,customer service,15.86
"Burns, Kendra","Moran, John",kendra.burns@abcfoodmart.com,2022-12-13,ABC Foodmart - Bay Ridge,2023-01-31 00:00,2023-01-31 00:00,dairy,19.66
"Day, Natasha","Moran, John",natasha.day@abcfoodmart.com,2023-08-02,ABC Foodmart - Whitestone,2023-08-16 00:00,2023-08-16 00:00,frozen foods,17.27
"Sosa, David","David, Mr.",david.sosa@abcfoodmart.com,2023-07-27,ABC Foodmart - Staten Island,2023-08-21 00:00,2023-08-21 00:00,dry goods,16.00
"Wilson, Jill","Compton, Jeffrey",jill.wilson@abcfoodmart.com,2022-12-06,ABC Foodmart - Whitestone,2023-01-18 00:00,2023-01-18 00:00,deli,13.33
"Roach, Christine","David, Mr.",christine.roach@abcfoodmart.com,2023-10-15,ABC Foodmart - Tribeca,2023-11-20 00:00,2023-11-20 00:00,dairy,15.27
"Davis, Jennifer","Cooper, Robert",jennifer.davis@abcfoodmart.com,2023-11-03,ABC Foodmart - Bay Ridge,2023-12-12 00:00,2023-12-12 00:00,frozen foods,16.52
"Waters, Julie","Waller, Chad",julie.waters@abcfoodmart.com,2023-05-20,ABC Foodmart - DUMBO,2023-05-21 00:00,2023-05-21 00:00,dairy,15.40
"Garcia, Sarah","Hoffman, Tina",sarah.garcia@abcfoodmart.com,2022-12-14,ABC Foodmart - Tribeca,2023-01-17 00:00,2023-01-17 00:00,dairy,14.52
"Nichols, Mitchell","Moran, John",mitchell.nichols@abcfoodmart.com,2022-09-30,ABC Foodmart - DUMBO,2022-10-23 00:00,2022-10-23 00:00,dairy,14.53
"Davis, Jennifer","Carter, Karen",jennifer.davis@abcfoodmart.com,2023-11-03,ABC Foodmart - Tribeca,2024-01-03 00:00,2024-01-03 00:00,deli,14.13
"Garcia, Sarah","Cooper, Robert",sarah.garcia@abcfoodmart.com,2022-12-14,ABC Foodmart - DUMBO,2023-01-30 00:00,2023-01-30 00:00,fresh produce,18.67
"Meyer, James","David, Mr.",james.meyer@abcfoodmart.com,2022-05-02,ABC Foodmart - Whitestone,2022-05-29 00:00,2022-05-29 00:00,meats,16.73
"Wilson, Jill","Compton, Jeffrey",jill.wilson@abcfoodmart.com,2022-12-06,ABC Foodmart - DUMBO,2023-01-26 00:00,2023-01-26 00:00,deli,15.79
"Martin, Monica","Farrell, Christopher",monica.martin@abcfoodmart.com,2023-11-23,ABC Foodmart - Whitestone,2023-12-25 00:00,2023-12-25 00:00,fresh produce,19.51
"Henderson, Nancy","Johnston, William",nancy.henderson@abcfoodmart.com,2023-12-30,ABC Foodmart - Bay Ridge,2024-01-26 00:00,2024-01-26 00:00,floral,12.41
"Conrad, Frederick","Waller, Chad",frederick.conrad@abcfoodmart.com,2023-11-24,ABC Foodmart - Tribeca,2023-12-13 00:00,2023-12-13 00:00,deli,19.29
"Jacobs, Brenda","Waller, Chad",brenda.jacobs@abcfoodmart.com,2024-02-09,ABC Foodmart - Staten Island,2024-03-29 00:00,2024-03-29 00:00,dry goods,13.25
"Chen, Kathleen","Farrell, Christopher",kathleen.chen@abcfoodmart.com,2024-02-03,ABC Foodmart - Bay Ridge,2024-02-10 00:00,2024-02-10 00:00,bakery,15.66
"Dodson, Courtney","Johnston, William",courtney.dodson@abcfoodmart.com,2023-01-10,ABC Foodmart - Staten Island,2023-01-12 00:00,2023-01-12 00:00,floral,18.41
"Martin, Monica","Williams, Gina",monica.martin@abcfoodmart.com,2023-11-23,ABC Foodmart - Staten Island,2024-01-06 00:00,2024-01-06 00:00,deli,20.00
"Glover, Michelle","Johnston, William",michelle.glover@abcfoodmart.com,2022-08-25,ABC Foodmart - DUMBO,2022-10-04 00:00,2022-10-04 00:00,deli,14.94
"Atkinson, Gary","David, Mr.",gary.atkinson@abcfoodmart.com,2022-05-24,ABC Foodmart - DUMBO,2022-05-28 00:00,2022-05-28 00:00,meats,15.92
"Blanchard, Ricky","Moran, John",ricky.blanchard@abcfoodmart.com,2023-05-23,ABC Foodmart - Whitestone,2023-06-02 00:00,2023-06-02 00:00,bakery,19.92
"Wood, Joshua","Johnston, William",joshua.wood@abcfoodmart.com,2022-11-26,ABC Foodmart - Bay Ridge,2022-11-28 00:00,2022-11-28 00:00,cashier,18.25
"Marquez, Jeffrey","Farrell, Christopher",jeffrey.marquez@abcfoodmart.com,2023-02-19,ABC Foodmart - Tribeca,2023-03-18 00:00,2023-03-18 00:00,pharmacy,13.24
"Nguyen, Richard","Carter, Karen",richard.nguyen@abcfoodmart.com,2022-09-27,ABC Foodmart - Tribeca,2022-10-15 00:00,2022-10-15 00:00,dry goods,12.39
"Martin, Monica","Williams, Gina",monica.martin@abcfoodmart.com,2023-11-23,ABC Foodmart - Whitestone,2024-01-17 00:00,2024-01-17 00:00,customer service,13.20
"Gardner, Laura","Moran, John",laura.gardner@abcfoodmart.com,2023-09-04,ABC Foodmart - Bay Ridge,2023-09-23 00:00,2023-09-23 00:00,seafood,13.26
"Carroll, Eric","Johnston, William",eric.carroll@abcfoodmart.com,2022-12-26,ABC Foodmart - DUMBO,2023-01-07 00:00,2023-01-07 00:00,dairy,14.88
"Burns, Kendra","Moran, John",kendra.burns@abcfoodmart.com,2022-12-13,ABC Foodmart - Tribeca,2023-02-06 00:00,2023-02-06 00:00,bakery,16.09
"Riley, Ashley","Carter, Karen",ashley.riley@abcfoodmart.com,2022-08-17,ABC Foodmart - Bay Ridge,2022-10-12 00:00,2022-10-12 00:00,dry goods,12.85
"Jessica, Ms.","Williams, Gina",ms..jessica@abcfoodmart.com,2022-06-10,ABC Foodmart - Staten Island,2022-06-25 00:00,2022-06-25 00:00,seafood,17.90
"Walls, Kristen","Hoffman, Tina",kristen.walls@abcfoodmart.com,2023-02-10,ABC Foodmart - Staten Island,2023-03-14 00:00,2023-03-14 00:00,bakery,12.57
"Jackson, Michael","Cooper, Robert",michael.jackson@abcfoodmart.com,2022-10-31,ABC Foodmart - Tribeca,2022-11-29 00:00,2022-11-29 00:00,meats,14.06
"Durham, Denise","Williams, Gina",denise.durham@abcfoodmart.com,2022-10-24,ABC Foodmart - DUMBO,2022-11-22 00:00,2022-11-22 00:00,floral,17.81
"Love, Thomas","Williams, Gina",thomas.love@abcfoodmart.com,2024-02-18,ABC Foodmart - DUMBO,2024-03-06 00:00,2024-03-06 00:00,floral,19.50
"Brown, Lisa","Compton, Jeffrey",lisa.brown@abcfoodmart.com,2022-08-18,ABC Foodmart - Staten Island,2022-08-30 00:00,2022-08-30 00:00,dry goods,19.10
"Hughes, Christopher","Moran, John",christopher.hughes@abcfoodmart.com,2022-09-01,ABC Foodmart - Staten Island,2022-09-11 00:00,2022-09-11 00:00,seafood,14.11
"Bradley, Rita","David, Mr.",rita.bradley@abcfoodmart.com,2023-08-06,ABC Foodmart - DUMBO,2023-09-04 00:00,2023-09-04 00:00,deli,14.27
"Riley, Ashley","Hoffman, Tina",ashley.riley@abcfoodmart.com,2022-08-17,ABC Foodmart - DUMBO,2022-11-02 00:00,2022-11-02 00:00,bakery,16.31
"Eric, Mr.","Johnston, William",mr..eric@abcfoodmart.com,2022-09-02,ABC Foodmart - Bay Ridge,2022-10-12 00:00,2022-10-12 00:00,seafood,13.12
"Terri, Mrs.","Hoffman, Tina",mrs..terri@abcfoodmart.com,2022-09-23,ABC Foodmart - Bay Ridge,2022-11-11 00:00,2022-11-11 00:00,customer service,14.51
"Horton, Ashley","Compton, Jeffrey",ashley.horton@abcfoodmart.com,2024-01-24,ABC Foodmart - Bay Ridge,2024-02-15 00:00,2024-02-15 00:00,deli,16.73
"Ellis, Lauren","Ellis, Grant",lauren.ellis@abcfoodmart.com,2022-10-22,ABC Foodmart - DUMBO,2022-12-19 00:00,2022-12-19 00:00,pharmacy,18.52
"Foster, Jennifer","Waller, Chad",jennifer.foster@abcfoodmart.com,2023-06-15,ABC Foodmart - Staten Island,2023-08-02 00:00,2023-08-02 00:00,customer service,14.99
"Bryan, Mr.","Moran, John",mr..bryan@abcfoodmart.com,2023-08-26,ABC Foodmart - Tribeca,2023-09-20 00:00,2023-09-20 00:00,customer service,14.11
"Campbell, Brittany","David, Mr.",brittany.campbell@abcfoodmart.com,2023-03-25,ABC Foodmart - Tribeca,2023-06-05 00:00,2023-06-05 00:00,frozen foods,17.10
"Martin, Monica","Compton, Jeffrey",monica.martin@abcfoodmart.com,2023-11-23,ABC Foodmart - Staten Island,2024-01-26 00:00,2024-01-26 00:00,bakery,18.03
"Sean, Mr.","Cooper, Robert",mr..sean@abcfoodmart.com,2023-03-25,ABC Foodmart - Staten Island,2023-04-24 00:00,2023-04-24 00:00,pharmacy,14.14
"Jones, Christopher","Farrell, Christopher",christopher.jones@abcfoodmart.com,2022-05-19,ABC Foodmart - DUMBO,2022-07-10 00:00,2022-07-10 00:00,deli,19.80
"Love, Thomas","Flores, Angela",thomas.love@abcfoodmart.com,2024-02-18,ABC Foodmart - DUMBO,2024-03-30 00:00,2024-03-30 00:00,cashier,17.70
"Alvarez, Brenda","Carter, Karen",brenda.alvarez@abcfoodmart.com,2023-11-16,ABC Foodmart - Tribeca,2023-12-03 00:00,2023-12-03 00:00,dairy,18.64
"Chen, Kathleen","Carter, Karen",kathleen.chen@abcfoodmart.com,2024-02-03,ABC Foodmart - Bay Ridge,2024-02-15 00:00,2024-02-15 00:00,seafood,17.16
"Dodson, Courtney","David, Mr.",courtney.dodson@abcfoodmart.com,2023-01-10,ABC Foodmart - DUMBO,2023-02-10 00:00,2023-02-10 00:00,bakery,12.83
"Johnson, Samantha","Hoffman, Tina",samantha.johnson@abcfoodmart.com,2023-01-16,ABC Foodmart - Tribeca,2023-02-09 00:00,2023-02-09 00:00,floral,19.57
"Walls, Kristen","Moran, John",kristen.walls@abcfoodmart.com,2023-02-10,ABC Foodmart - Staten Island,2023-03-28 00:00,2023-03-28 00:00,deli,14.84
"Terri, Mrs.","Waller, Chad",mrs..terri@abcfoodmart.com,2022-09-23,ABC Foodmart - Staten Island,2022-12-07 00:00,2022-12-07 00:00,frozen foods,15.05
"Payne, Samantha","David, Mr.",samantha.payne@abcfoodmart.com,2024-04-06,ABC Foodmart - Bay Ridge,2024-04-11 00:00,2024-04-11 00:00,frozen foods,14.38
"Waters, Julie","Waller, Chad",julie.waters@abcfoodmart.com,2023-05-20,ABC Foodmart - Tribeca,2023-05-31 00:00,2023-05-31 00:00,deli,17.42
"Dodson, Courtney","Waller, Chad",courtney.dodson@abcfoodmart.com,2023-01-10,ABC Foodmart - Bay Ridge,2023-03-04 00:00,2023-03-04 00:00,cashier,15.93
"Jessica, Ms.","Williams, Gina",ms..jessica@abcfoodmart.com,2022-06-10,ABC Foodmart - Bay Ridge,2022-07-03 00:00,2022-07-03 00:00,cashier,16.12
"Atkinson, Gary","Compton, Jeffrey",gary.atkinson@abcfoodmart.com,2022-05-24,ABC Foodmart - Tribeca,2022-06-18 00:00,2022-06-18 00:00,cashier,12.53
"Davis, Jennifer","Flores, Angela",jennifer.davis@abcfoodmart.com,2023-11-03,ABC Foodmart - Bay Ridge,2024-01-31 00:00,2024-01-31 00:00,dairy,12.43
